date,sales,temp
2013-07-01,57,303
2013-07-02,58,298
2013-07-03,53,301
2013-07-04,36,302
2013-07-05,29,305
2013-07-06,54,307
2013-07-07,41,308
2013-07-08,84,308
2013-07-09,79,305
2013-07-10,66,304
2013-07-11,53,304
2013-07-12,48,303
2013-07-13,30,300
2013-07-14,60,302
2013-07-15,58,305
2013-07-16,72,308
2013-07-17,69,308
2013-07-18,99,309
2013-07-19,74,310
2013-07-20,46,310
2013-07-21,53,307
2013-07-22,60,304
2013-07-23,81,303
2013-07-24,95,304
2013-07-25,83,302
2013-07-26,79,298
2013-07-27,60,301
2013-07-28,64,303
2013-07-29,112,300
2013-07-30,122,303
2013-07-31,94,301
2013-08-01,65,302
2013-08-02,106,299
2013-08-03,50,303
2013-08-04,78,299
2013-08-05,108,301
2013-08-06,89,299
2013-08-07,98,301
2013-08-08,78,300
2013-08-09,74,300
2013-08-10,71,303
2013-08-11,63,301
2013-08-12,93,300
2013-08-13,55,300
2013-08-14,86,298
2013-08-15,110,295
2013-08-16,100,297
2013-08-17,55,299
2013-08-18,67,301
2013-08-19,93,299
2013-08-20,114,300
2013-08-21,101,304
2013-08-22,68,305
2013-08-23,69,298
2013-08-24,57,300
2013-08-25,46,298
2013-08-26,90,300
2013-08-27,103,301
2013-08-28,81,303
2013-08-29,84,301
2013-08-30,73,299
2013-08-31,36,302
2013-09-01,62,301
2013-09-02,35,302
2013-09-03,71,297
2013-09-04,102,300
2013-09-05,112,298
2013-09-06,104,294
2013-09-07,48,296
2013-09-08,69,299
2013-09-09,100,295
2013-09-10,115,303
2013-09-11,103,307
2013-09-12,78,303
2013-09-13,108,299
2013-09-14,53,291
2013-09-15,59,295
2013-09-16,66,293
2013-09-17,98,291
2013-09-18,112,296
2013-09-19,111,297
2013-09-20,97,298
2013-09-21,63,297
2013-09-22,60,295
2013-09-23,85,291
2013-09-24,97,295
2013-09-25,105,295
2013-09-26,106,293
2013-09-27,96,292
2013-09-28,50,296
2013-09-29,73,294
2013-09-30,98,295
2013-10-01,113,299
2013-10-02,103,301
2013-10-03,109,298
2013-10-04,91,302
2013-10-05,38,297
2013-10-06,36,293
2013-10-07,79,296
2013-10-08,114,291
2013-10-09,91,290
2013-10-10,66,290
2013-10-11,62,292
2013-10-12,52,295
2013-10-13,45,291
2013-10-14,86,291
2013-10-15,98,294
2013-10-16,101,292
2013-10-17,106,296
2013-10-18,100,293
2013-10-19,44,290
2013-10-20,51,288
2013-10-21,105,292
2013-10-22,120,291
2013-10-23,83,288
2013-10-24,71,284
2013-10-25,77,285
2013-10-26,34,285
2013-10-27,36,286
